filename,quality_score,original_chars,corrected_chars
"00000000_07월 17일 (수) 홍성남 신부, 경제인에게 마음이 복잡할 땐 기도하세요.txt",90,821,868
00000000_07월 19일(금) 신앙 있는 사람이 4년 더 산다.txt,70,1092,1302
00000000_106 마태21장 28~32절 우월 콤플렉스.txt,60,2164,2393
00000000_10장 16~25절 박해를 각오하라.txt,60,2541,2772
00000000_10장 1~4절 열두 사도를 뽑으시다.txt,60,2145,2381
00000000_10장 30~31절 두려워하지 말라.txt,60,2049,2274
00000000_10장 32~33절 나 안다고 증언하면.txt,70,1995,2246
00000000_10장 34~39절 칼을 주러 왔다.txt,60,2045,2238
00000000_10장 40~42절 맞아들이는 사람이 받을 상.txt,70,1983,2208
00000000_10장 5~15절 열두 제자의 파견.txt,70,2362,2463
00000000_11장 16~19절 세례자 요한에 대한 예수의 증언.txt,60,1382,1599
00000000_11장 1~6절 세례자 요한의 질문에 답변하시다.txt,70,2210,2437
00000000_11장 20~24절 저주받은도시.txt,60,2130,2334
00000000_11장 25~27절 그렇습니다 아버지.txt,60,2046,2333
00000000_11장 28~30절 내 멍에를 메어라.txt,70,1886,2070
00000000_12장 16~21절 나에게 와서 쉬어라.txt,70,1791,2023
00000000_12장 1~8절 안식일의 주인.txt,60,2465,2620
00000000_12장 22~24절 베엘제불과 성령.txt,70,1324,1499
00000000_12장 33~37절 말과 마음.txt,60,1960,2178
00000000_12장 38~42절 기적을 요구하는 세대.txt,60,1999,2192
00000000_12장 43~45절 되돌아온 악령.txt,60,1799,2010
00000000_12장 46~50절 누가 내 어머니이며 내 형제이냐.txt,70,1959,2201
00000000_12장 9~14절 오그라든 손을 펴 주신 예수.txt,60,2074,2298
00000000_13장 18~23절 사람의 발달사.txt,70,2279,2448
00000000_13장 1~9절 씨 뿌리는 사람의 비유.txt,60,2144,2382
00000000_13장 24 30절 가리지와 밀.txt,60,2629,2848
00000000_13장 31~32절 말의 건강함.txt,70,2597,2766
00000000_13장 33절 성공이란.txt,70,2422,2651
00000000_13장 44~46절 절 중독.txt,60,1954,2199
00000000_13장 47~50절 문제의식.txt,60,2493,2628
00000000_13장 51~53절 건강한 마음.txt,70,1234,1426
00000000_13장 54~58절 믿어줌.txt,70,2339,2549
"00000000_13장10~12절 가진 사람, 못 가진 사람.txt",60,1709,1929
00000000_14장 13~21절 오천 명을 먹이시다.txt,60,2311,2480
00000000_16장 21~23절 자아 통합감.txt,60,2463,2647
00000000_16장 24~28절 예수를 따르는 길.txt,60,2253,2465
00000000_17장 10~13절 엘리야의 대림.txt,60,2425,2669
00000000_17장 14~21절 무안당한 제자들.txt,60,2413,2671
00000000_17장 1~6절 영광스러운 모습으로 변모하신 이유.txt,60,2494,2715
00000000_17장 24~27절 신념.txt,70,2401,2611
00000000_180414 도반 홍성남 신부님.txt,60,27041,27892
00000000_181201 홍성남 신부님(성모신심미사).txt,25,12046,1132
00000000_181213 도반 홍성남 신부님(상계동 성당).txt,70,32624,33791
00000000_181215 도반 홍성남 신부님 (통합).txt,60,33028,33281
00000000_181215 도반 홍성남 신부님(12).txt,60,26213,26351
00000000_181215 도반 홍성남 신부님(22) 후반부 20분 추가 영상.txt,60,7115,7474
00000000_181220 도반 홍성남 신부님 (상계동 성당).txt,60,34778,35815
00000000_18장 10~14절 작은이들을 업신여기지 마라.txt,70,2074,2241
00000000_18장 15~18절 잘못을 저지른 사람들.txt,70,2252,2462
00000000_18장 19~20절 함께 기도하면 아버지께서 들어 주신다.txt,60,1936,2159
00000000_18장 1~5절 하늘나라에서 가장 큰 사람.txt,70,2084,2311
00000000_18장 21~22절 형제가 죄를 지으면 몇 번이고 용서하여라.txt,70,1974,2176
00000000_18장 6~9절 죄의 유혹을 단호히 물리쳐라.txt,60,1662,1878
00000000_190112 도반 홍성남신부님.txt,70,24712,25526
00000000_190209 도반 홍성남신부님 (내사introjection).txt,60,28820,29633
"00000000_190309 도반 홍성남신부님 (종교적 내사, 사목자인가 사육자인가).txt",60,26053,26933
"00000000_190413-1부 도반 홍성남신부님 (망연자실은 무엇이며, 어떻게 버텨내는가).txt",60,11660,12214
"00000000_190413-2부 도반 홍성남신부님 (망연자실은 무엇이며, 어떻게 버텨내는가).txt",60,17848,18422
00000000_19장 13~15절 철부지.txt,60,2350,2569
00000000_19장 16~21절 겉멋.txt,60,2581,2771
00000000_19장 1~9절 굳어진 마음.txt,60,2805,3011
00000000_1장 18~25절 [예수 그리스도의 탄생].txt,60,1983,2242
00000000_1장 1절 [예수 그리스도의 족보].txt,60,1908,2110
00000000_2022년 4월 12일.txt,75,41,233
00000000_2022년 4월 14일.txt,80,116,308
00000000_2022년 4월 24일.txt,75,174,372
00000000_2022년 4월 30일.txt,90,991,1187
00000000_2023년 12월 25일.txt,90,322,540
00000000_2023년 5월 31일.txt,100,422,649
00000000_2024년 5월 16일.txt,90,1026,1258
00000000_2024년 6월 4일.txt,90,1080,1289
00000000_2025년 5월 27일.txt,95,1097,1286
00000000_2025년 9월 1일.txt,70,64,245
00000000_2025년 9월 29일.txt,80,493,673
00000000_20장 17~19절 부활의 평범함.txt,60,2292,2502
00000000_20장 20~28절 섬김.txt,60,2388,2583
00000000_20장 29~34절 예리코의 눈먼 두 사람.txt,60,1970,2194
00000000_20장 9~16절 선한 포도밭 주인의 비유.txt,60,1927,2089
00000000_21장 18~22절 무화과나무를 저주하시다.txt,60,2144,2190
00000000_21장 23~27절 예수님의 당당함.txt,70,1914,2185
00000000_21장 43~46절 소명의식.txt,60,2073,2178
"00000000_21장 6~11절 미운 정, 고운 정.txt",70,2290,2507
00000000_22장 14절 성공하는 사람.txt,70,1784,1975
00000000_22장 15~22절 콤플렉스.txt,70,2161,2377
00000000_22장 34~40절 가장 큰 계명.txt,60,1880,2119
00000000_22장 41~46절 다윗의 자손이시며 주님이신 예수 그리스도.txt,70,1898,2068
00000000_23장 1~4절 율법학자들과 바리사이들을 꾸짖으시다.txt,60,1911,2131
00000000_23장 37절~ 24장 2절 예루살렘을 두고 한탄하시다.txt,70,2534,2758
00000000_24장 36~44절 깨어있어라.txt,60,1946,2057
00000000_24장 3~35절 우울증과 종말강박증.txt,60,3434,3661
00000000_24장 45~51 마음을 가꾸고 다듬어라.txt,60,2096,2296
00000000_25장 1~13절 열 처녀의 비유.txt,70,2842,3106
00000000_25장 29~30절 달란트의 비유.txt,70,1579,1643
00000000_25장 41~46절 최후의 심판.txt,70,1892,2062
00000000_26장 14~16절 유다가 예수님을 배신하다.txt,70,1607,1796
00000000_26장 1~5절 불안을 극복하는 법.txt,60,2164,2397
00000000_26장 20~25절 제자가 배신할 것을 예고하시다.txt,70,1834,2071
00000000_26장 26~30절 성찬례를 제정하시다.txt,70,1637,1874
00000000_26장 31~35절 베드로가 당신을 모른다고 할 것을 예고하시다.txt,60,2033,2283
00000000_26장 36~46절 겟세마니에서 기도하시다.txt,60,2289,2517
00000000_26장 47~53절 잡히신 예수.txt,60,1961,2201
00000000_26장 57~63절 마음의 힘과 신경증.txt,60,2204,2428
00000000_26장 67~69절 왜 남을 조롱하는가.txt,70,1559,1711
00000000_26장 69~75절 예수를 세 번 부인한 베드로.txt,60,2178,2358
